	农业建筑环境与能源工程
	森林工程
	木材科学与工程
	林产化工
	刑事科学技术
	消防工程
	农学
	园艺
	植物保护
	茶学
	草业科学
	林学
	森林资源与保护游憩
	野生动物与自然保护区管理
	园林
	水土保持与荒漠化防治
	农业资源与环境
	动物科学
	蚕学
	动物医学
	水产养殖学
	海洋渔业科学与技术
	基础医学
	预防医学
	临床医学
	麻醉学
	医学影像学
	医学检验
	口腔医学
	中医学
	针灸推拿学
	蒙医学
	藏医学
	法医学
	护理学
	药学
	中药学
	药物制剂
	管理科学
	信息管理与信息系统
	工业工程
	工程管理
	工商管理
	市场营销
	会计学
	财务管理
	人力资源管理
	旅游管理
	物流管理
	行政管理
	公共事业管理
	劳动与社会保障
	土地资源管理
	农林经济管理
	农村区域发展
	图书馆学
	档案学
